clientid,income,default
1,66155.9251,0
2,34415.15397,0
3,57317.17006,0
4,42709.5342,0
5,66952.68885,1
6,24904.06414,0
7,48430.35961,0
8,24500.14198,1
9,40654.89254,0
10,25075.87277,0
11,64131.41537,0
12,59436.84712,0
13,61050.34608,0
14,27267.99546,0
15,63061.96017,0
16,50501.72669,0
17,43548.65471,0
18,43378.17519,0
19,20542.36507,0
20,58887.35755,0
21,23000.784,0
22,32197.6207,0
23,23329.31941,0
24,27845.80089,0
25,65301.98403,0
26,47451.63012,0
27,63287.03891,0
28,45727.45987,0
29,59417.80541,0
30,58842.89131,0
31,48528.8528,0
32,23526.30256,0
33,67252.90061,0
34,58886.85129,0
35,57584.97379,0
36,26289.97231,0
37,25952.38147,0
38,32464.09188,0
39,60921.0631,0
40,26578.53669,1
41,66260.12156,0
42,58787.45524,0
43,62545.70871,0
44,24381.95345,1
45,67852.10587,0
46,41725.61286,0
47,41896.9716,0
48,44379.72965,0
49,28416.89938,0
50,68427.16311,0
51,35975.79493,0
52,57596.3541,0
53,29681.88309,0
54,51656.93867,0
55,24912.84268,0
56,47761.82407,0
57,22248.1792,1
58,29724.47688,0
59,52143.82367,0
60,56577.72286,0
61,37660.77072,0
62,37403.7954,0
63,31652.69373,0
64,32727.70073,0
65,69078.60481,0
66,40622.19487,0
67,37521.01717,0
68,30735.8085,1
69,24857.69488,0
70,33180.20159,0
71,66628.26009,0
72,38564.93213,1
73,33704.5085,1
74,57018.48483,0
75,40526.90279,0
76,50827.98052,0
77,40775.8116,0
78,55467.15141,0
79,38789.02939,0
80,58074.84013,0
81,57814.10634,0
82,45190.72918,0
83,36801.90718,0
84,68811.77942,0
85,30483.29553,1
86,44930.39417,1
87,43671.45655,1
88,27612.9148,0
89,53607.32693,0
90,33036.68312,0
91,64275.83489,0
92,30673.8375,0
93,58793.61431,0
94,21053.49062,0
95,42095.4222,0
96,50360.67879,0
97,41970.72448,0
98,51663.41018,0
99,53601.81244,1
100,43439.98873,1
