name,description,topics,languages,last_updated,watchers,forks,stars,branches,tags
dotnet/winforms,Windows Forms is a .NET UI framework for building Windows desktop applications.,"['winforms', 'desktop', 'windows-forms', 'hacktoberfest']","['C#: 98.1%', 'Visual Basic .NET: 0.9%', 'PowerShell: 0.4%', 'Shell: 0.3%', 'C++: 0.2%', 'Rich Text Format: 0.1%']","Feb 4, 2022",307,674,3.4k,13,78
dotnet/runtime,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",['hacktoberfest'],"['C#: 82.0%', 'C++: 9.2%', 'C: 7.3%', 'Visual Basic .NET: 0.4%', 'Assembly: 0.3%', 'Python: 0.2%', '\n\n\n\nOther\n0.6%\n: Other']","Feb 6, 2022",376,2.7k,8.1k,41,37
dotnet/docs,This repository contains .NET Documentation.,"['csharp', 'fsharp', 'visual-basic', 'dotnet', 'dotnet-core', 'hacktoberfest']",[],"Feb 4, 2022",342,5k,3.1k,47,1
dotnet/maui,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.","['microsoft', 'multi-platform', 'dotnet', 'user-interface', 'hacktoberfest', 'maui']","['C#: 99.8%', 'HTML: 0.1%', 'PowerShell: 0.1%', 'CSS: 0.0%', 'Java: 0.0%', 'Shell: 0.0%']","Feb 6, 2022",660,705,13.5k,198,396
dotnet/efcore,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.","['c-sharp', 'orm', 'database', 'entity-framework', 'dotnet-core', 'dotnet-standard', 'hacktoberfest', 'dotnet-framework', 'aspnet-product']","['C#: 99.3%', '\n\n\n\nOther\n0.7%\n: Other']","Feb 4, 2022",942,2.7k,11k,30,151
dotnet/iot,"This repo includes .NET Core implementations for various IoT boards, chips, displays and PCBs.",[],"['C#: 95.0%', 'PowerShell: 2.8%', 'Shell: 1.8%', '\n\n\n\nOther\n0.4%\n: Other']","Feb 4, 2022",304,427,1.6k,11,14
dotnet/runtimelab,This repo is for experimentation and exploring new ideas that may or may not make it into the main dotnet/runtime repo.,[],[],"Feb 1, 2022",111,125,835,17,0
dotnet/MobileBlazorBindings,Experimental Mobile Blazor Bindings - Build native and hybrid mobile apps with Blazor,"['mobile', 'dotnet', 'hybrid', 'blazor']","['C#: 82.5%', 'TypeScript: 13.9%', 'PowerShell: 2.1%', 'HTML: 0.7%', 'JavaScript: 0.3%', 'CSS: 0.3%', 'Batchfile: 0.2%']","Oct 20, 2021",72,140,1k,12,5
dotnet/BenchmarkDotNet,Powerful .NET library for benchmarking,"['c-sharp', 'benchmarking', 'benchmark', 'performance', 'csharp', 'dotnet']","['C#: 99.1%', 'R: 0.3%', 'PowerShell: 0.2%', 'F#: 0.1%', 'Batchfile: 0.1%', 'Visual Basic .NET: 0.1%', '\n\n\n\nOther\n0.1%\n: Other']","Feb 4, 2022",265,744,7.3k,18,47
dotnet/performance,This repo contains benchmarks used for testing the performance of all .NET Runtimes,[],"['C#: 70.7%', 'Python: 14.2%', 'HTML: 10.0%', 'PowerShell: 2.4%', 'Shell: 1.4%', 'CSS: 0.9%', '\n\n\n\nOther\n0.4%\n: Other']","Feb 6, 2022",180,180,504,31,0
dotnet/nuget-trends,Check out NuGet packages adoption and what's trending on NuGet.,"['dotnet', 'nuget', 'trends', 'hacktoberfest', 'nuget-trends']","['C#: 50.6%', 'TypeScript: 37.9%', 'SCSS: 5.9%', 'HTML: 4.2%', 'Shell: 0.8%', 'JavaScript: 0.5%', 'Dockerfile: 0.1%']","Jul 17, 2021",10,20,109,6,6
dotnet/dotnet-monitor,This repository contains the source code for .NET Monitor - a tool that allows you to gather diagnostic data from running applications using HTTP endpoints,[],"['C#: 81.6%', 'PowerShell: 10.1%', 'Shell: 6.3%', 'JavaScript: 1.3%', '\n\n\n\nOther\n0.7%\n: Other']","Dec 8, 2021",26,37,268,14,8
dotnet/MQTTnet,MQTTnet is a high performance .NET library for MQTT based communication. It provides a MQTT client and a MQTT server (broker). The implementation is based on the documentation from http://mqtt.org/.,"['tls', 'mqtt', 'iot', 'csharp', 'tcp', 'communication', 'nuget', 'uwp', 'netcore', 'iot-platform', 'mqtt-broker', 'broker', 'net', 'mqtt-client', 'mqtt-server', 'iot-framework', 'netframework', 'mqtt-protocol', 'anycpu']","['C#: 97.7%', 'PowerShell: 1.2%', 'HTML: 0.6%', 'CSS: 0.3%', 'TypeScript: 0.1%', 'C: 0.1%']","Jan 27, 2022",142,694,2.6k,4,58
dotnet/Silk.NET,"The high-speed OpenGL, OpenCL, OpenAL, OpenXR, GLFW, SDL, Vulkan, Assimp, and DirectX bindings library your mother warned you about.","['audio', 'opengl', 'csharp', 'native', 'graphics', 'vulkan', 'opencl', 'glfw', 'game-development', 'openal', 'scientific-visualization', 'silk', 'graphics-library', 'haptics', 'hacktoberfest', '3d']","['C#: 99.0%', 'C++: 0.4%', 'CSS: 0.3%', 'C: 0.2%', 'Java: 0.1%', 'HTML: 0.0%']","Feb 6, 2022",32,154,1.5k,27,37
dotnet/dotnet-api-docs,".NET API reference documentation (.NET 5+, .NET Core, .NET Framework)",['hacktoberfest'],"['C#: 34.4%', 'Visual Basic .NET: 31.0%', 'C++: 12.0%', 'ASP.NET: 11.4%', 'Rich Text Format: 10.0%', 'F#: 0.8%', '\n\n\n\nOther\n0.4%\n: Other']","Feb 4, 2022",93,1.1k,365,60,0
dotnet/roslyn,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,"['visual-studio', 'csharp', 'roslyn', 'visual-basic', 'hacktoberfest']","['C#: 69.0%', 'Visual Basic .NET: 30.8%', 'PowerShell: 0.1%', '1C Enterprise: 0.1%', 'Shell: 0.0%', 'CMake: 0.0%']","Feb 6, 2022",1k,3.5k,15.4k,216,344
dotnet/ml-api-docs,,[],['PowerShell: 100.0%'],,30,24,11,4,0
dotnet/fsharp,"The F# compiler, F# core library, F# language service, and F# tooling integration for Visual Studio","['visual-studio', 'tools', 'compiler', 'fsharp', 'functional-programming', 'netcore', 'intellisense']","['F#: 81.9%', 'C#: 7.0%', 'Rich Text Format: 6.8%', 'Visual Basic .NET: 2.6%', 'PowerShell: 0.5%', 'Perl: 0.5%', '\n\n\n\nOther\n0.7%\n: Other']","Feb 6, 2022",199,674,3k,38,84
dotnet/sdk,"Core functionality needed to create .NET Core projects, that is shared between Visual Studio and CLI","['cli', 'visual-studio', 'sdk', 'dotnet']","['C#: 96.4%', 'PowerShell: 1.6%', 'Shell: 1.1%', 'HTML: 0.7%', 'JavaScript: 0.1%', 'CMake: 0.1%']","Feb 6, 2022",200,710,1.7k,149,145
dotnet/installer,.NET SDK Installer,[],"['C#: 50.8%', 'PowerShell: 17.5%', 'Shell: 15.9%', 'F#: 7.8%', 'HTML: 3.5%', 'C++: 2.1%', '\n\n\n\nOther\n2.4%\n: Other']","Feb 5, 2022",119,333,918,38,70
dotnet/aspnetcore,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.","['dotnet', 'aspnetcore', 'hacktoberfest']","['C#: 86.3%', 'JavaScript: 4.5%', 'C++: 3.3%', 'HTML: 2.2%', 'TypeScript: 1.5%', 'Java: 0.9%', '\n\n\n\nOther\n1.3%\n: Other']","Feb 5, 2022",1.4k,7.4k,27.2k,134,173
