income,loan,default
,6103.64226,0
48430.32,5722.581981,0
,2971.00331,1
40654.89254,4755.82528,0
23,1409.230371,0
64131.41537,4351.028971,0
59436.84712,9254.244538,0
61050.34608,5893.264659,0
27267.99546,4759.787581,0
63061.96017,1850.369377,0
50501.72669,3977.287432,0
43548.65471,3935.544453,0
43378.17519,3277.737553,0
20542.36507,3157.44229,0
58887.35755,4965.516066,0
23000.784,1148.118057,0
32197.6207,4244.057136,0
23329.31941,222.6222987,0
27845.80089,4959.921226,0
65301.98403,5465.267886,0
47451.63012,5361.282716,0
63287.03891,9595.286289,0
45727.45987,6376.822949,0
59417.80541,2082.625938,0
58842.89131,10871.18679,0
48528.8528,6155.78467,0
23526.30256,2862.010139,0
67252.90061,4221.303157,0
58886.85129,7271.552032,0
57584.97379,1728.423755,0
26289.97231,341.146966,0
25952.38147,2109.200772,0
32464.09188,4326.705073,0
60921.0631,968.8363827,0
26578.53669,3489.843136,1
66260.12156,7035.589107,0
58787.45524,4167.786724,0
62545.70871,4362.905812,0
24381.95345,4227.018986,1
67852.10587,5730.588251,0
41725.61286,1185.2147,0
41896.9716,4892.209734,0
44379.72965,1814.335082,0
28416.89938,1788.973736,0
68427.16311,1658.070233,0
35975.79493,6610.366179,0
57596.3541,3344.384401,0
29681.88309,1745.871674,0
51656.93867,7158.13906,0
24912.84268,267.6962986,0
47761.82407,5549.799128,0
22248.1792,4364.975281,1
29724.47688,3075.345728,0
52143.82367,2393.099679,0
56577.72286,5947.421721,0
37660.77072,2129.597165,0
37403.7954,2044.047045,0
31652.69373,5151.070445,0
32727.70073,1087.919364,0
69078.60481,4076.583914,0
40622.19487,4949.902333,0
37521.01717,8.012076247,0
30735.8085,5946.822297,1
24857.69488,2692.163459,0
33180.20159,4621.997742,0
66628.26009,5992.885092,0
38564.93213,5604.16999,1
33704.5085,5898.000893,1
57018.48483,3507.252166,0
40526.90279,2119.984911,0
50827.98052,1765.983337,0
40775.8116,1922.610022,0
55467.15141,9226.902041,0
38789.02939,7650.65521,0
58074.84013,7388.02444,0
57814.10634,7252.120004,0
45190.72918,7893.559889,0
36801.90718,5406.344926,0
68811.77942,4211.302611,0
30483.29553,4514.00978,1
44930.39417,7708.315625,1
43671.45655,8066.697865,1
27612.9148,1513.6242,0
53607.32693,2378.766173,0
33036.68312,958.9798221,0
64275.83489,7520.032053,0
30673.8375,383.1075694,0
58793.61431,4391.981054,0
21053.49062,754.6018821,0
42095.4222,1183.704568,0
50360.67879,4217.166823,0
41970.72448,1622.317392,0
51663.41018,4147.888585,0
53601.81244,9601.375482,1
43439.98873,6879.306007,1
51461.05317,7292.264177,0
41285.17231,2313.825005,0
62895.74977,2001.281514,0
57296.16082,10601.08278,1
60844.09249,12072.25576,0
47634.54955,141.7038179,0
23998.32369,3928.303909,1
63391.61597,190.8892748,0
21534.55122,228.335387,0
28255.65251,2109.242798,0
36496.13393,165.5060901,0
41631.6663,106.0907472,0
68762.41666,2796.752303,0
30075.26492,2628.577923,0
41302.67418,1379.913124,0
39703.75943,2403.478216,0
63161.09204,804.0924415,0
63062.1421,56.16616439,0
34507.52791,1793.750255,0
27954.70777,1627.041405,0
37369.38206,3783.601151,0
43912.06274,7757.136789,1
22766.7745,1429.401762,0
21603.3057,178.333871,0
61952.90669,3635.600589,0
36116.36509,1494.984568,0
26157.77727,2295.811656,0
26458.3832,552.3981664,0
69156.30377,7364.735578,0
39441.44476,1034.758838,0
60119.06581,1810.96046,0
55613.48546,4255.252137,0
37049.38624,6056.817214,1
23122.06493,4263.493031,0
48790.13243,5519.09604,0
59132.68516,4575.527635,0
55305.57483,8176.707165,0
26037.46364,3293.250879,1
64899.80503,4654.249217,0
27089.12432,5029.488782,1
45341.47464,6525.218423,1
24865.79807,4439.116154,0
28239.54321,4189.832568,1
52730.0805,5706.325323,0
28982.05815,2898.761824,0
36221.26601,5094.670084,1
33551.12437,4333.360862,0
43891.35597,5792.906333,0
45148.88572,6455.391772,0
58481.01216,5380.560596,0
69579.92921,10868.24147,0
52743.30857,2684.700671,0
65635.66153,12701.60348,0
34559.90704,3317.529874,0
60218.53153,3157.961082,0
51689.54854,9881.976006,0
47541.61434,1611.216597,0
62905.79302,11423.9363,1
65632.60458,12498.04045,0
31847.85372,2913.769931,0
27947.44028,5514.117421,0
62246.72725,406.7207693,0
40154.68857,6013.152874,0
58627.55488,1215.65256,0
33441.05107,5282.72856,1
55603.7868,1411.13008,0
31046.37897,4907.674084,1
44708.09987,2390.850597,0
23340.2707,2707.760939,0
24830.18197,2046.68505,0
31422.74739,1686.835902,0
60477.23385,10711.7009,0
26039.02149,2056.752382,0
36186.84807,1130.735265,0
39772.11873,5492.893689,0
34730.16407,818.5084419,0
23118.48331,1746.936559,0
50072.84763,8088.568019,1
67465.06239,1802.616994,0
38625.63201,5836.563381,1
45227.48283,5521.507405,1
64901.89773,9589.833525,0
40543.91354,6507.850191,0
27793.26672,382.2489041,0
61167.77482,10396.61815,1
64619.66462,9704.782409,1
37593.75787,7274.325628,0
35032.6496,135.9316845,0
58364.46498,5809.899,0
56945.81041,6388.369826,0
27204.84855,3827.893915,1
21648.26103,3558.527262,0
31077.85689,4452.330679,0
42522.92241,6790.850263,0
31769.24772,1148.221436,0
35556.77991,6361.973438,1
52908.82424,9841.080553,0
35045.13141,2382.466772,0
44488.16448,2751.088843,0
41679.93712,395.0007751,0
54619.9472,10780.27188,0
38053.62313,6110.572792,1
64718.66178,1485.079935,0
43159.08497,4350.019897,0
29445.5105,1758.881865,0
25817.38988,4115.484719,0
66356.85674,10725.48473,0
56676.158,2278.554349,0
61000.04277,2160.784908,0
58906.25169,9290.575345,0
49589.15372,2627.405488,0
40141.60354,845.3663713,0
31659.72821,858.511388,0
62658.22163,3343.367161,0
39264.4835,5255.788283,0
46643.12648,6440.861434,0
30515.37212,415.240435,0
65077.32203,11061.81189,0
60871.869,4844.172224,0
25011.1039,3834.042782,0
68407.18551,597.9440655,0
43727.43934,1170.556334,0
45788.7471,5894.041317,0
65705.01082,1969.794134,0
32434.70251,2738.440496,0
58121.66858,7531.101249,1
62498.50725,3312.877622,0
26090.72588,4255.626392,0
64780.93854,8402.415586,1
65588.40342,7879.738136,1
65743.70367,7724.571414,0
37164.52158,1445.802189,0
65176.52978,2365.28749,0
34615.54217,6476.760852,1
59079.46505,10326.08977,0
56267.17164,7329.243164,1
34862.82129,6040.772062,0
60521.3641,8035.883173,0
42276.78291,8055.305084,0
38451.17771,3441.261416,0
45985.10865,7382.056426,0
51000.42244,778.7326956,0
31523.10777,5174.570569,0
28648.67675,1870.925253,0
27514.42796,3400.910744,1
27441.00038,1455.047602,0
67709.24159,5136.819308,0
38600.70719,2749.080191,0
30950.29541,5043.148637,1
27083.82287,3286.212882,0
21512.74527,2453.376121,0
34796.00356,443.6665381,0
27089.39284,1851.311563,0
25259.40163,4341.008082,0
47007.31358,4069.402646,0
20358.66502,1064.686918,0
67900.22653,7902.742965,0
54418.47099,5630.741221,0
51288.55469,6536.966363,1
28199.60163,3871.688902,0
22199.61514,1498.390919,0
50514.46963,2003.65357,0
34414.24034,617.5387522,0
37633.08743,868.1624733,0
55235.50407,4910.547658,0
45587.55184,8366.614268,0
52757.79494,2321.206314,0
41174.80813,2888.44471,0
25685.5352,490.7429211,0
28145.303,4805.971549,0
52094.21837,495.0211992,0
33552.38598,6054.244126,1
37400.93377,1693.137378,0
21605.72509,2828.308618,1
57562.89174,8508.835399,0
62288.53961,10657.10612,1
22767.2642,1205.786013,0
20943.04333,4098.11579,1
20622.8601,3518.452629,1
48436.66463,5851.409789,0
27574.63418,1017.39616,0
62889.36214,6525.151793,0
37683.20049,7414.552853,0
54974.4555,8922.199717,0
56326.08667,4816.776074,0
65670.88344,3950.870172,0
50730.73339,1879.059662,0
64184.91579,1854.239613,0
66179.32411,3646.93786,0
24969.5268,3595.501942,0
54925.51827,554.4883448,0
67879.24802,10433.47435,0
67787.52676,9607.498847,0
31657.6193,1448.071984,0
36559.13503,3030.267241,0
57787.56566,6339.850844,0
42521.72601,2661.612516,0
51935.18063,5649.452468,0
45677.87613,2966.246125,0
51363.59581,761.4224042,0
27218.56103,4145.003587,0
43677.62922,6739.858598,1
21533.59551,1971.55422,0
